         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
16/ 7/2018 18: 2: 5        1020        1020        1020        1020              1020     952.787           1
16/ 7/2018 18: 2:13        1030        1030        1030        1030              1030     952.967           1
16/ 7/2018 18: 2:14        1020        1020        1020        1020              1020     953.124           1
16/ 7/2018 18: 2:18        1030        1030        1030        1030              1030     953.302           1
16/ 7/2018 18: 2:19        1020        1020        1020        1020              1020     953.457           1
16/ 7/2018 18: 2:23        1030        1030        1030        1030              1030     953.634           1
16/ 7/2018 18: 2:34        1020        1020        1020        1020              1020     953.788           1
16/ 7/2018 18: 2:37        1030        1030        1030        1030              1030     953.963           1
16/ 7/2018 18: 2:38        1020        1020        1020        1020              1020     954.115           1
16/ 7/2018 18: 2:44        1030        1030        1030        1030              1030     954.289           1
16/ 7/2018 20: 2:36        1020        1020        1020        1020              1020     954.439           1
16/ 7/2018 21: 2: 4        1030        1030        1030        1030              1030     954.612           1
16/ 7/2018 21: 2:12        1020        1020        1020        1020              1020     954.761           1
16/ 7/2018 21: 2:15        1030        1030        1020        1020              1025      954.92           2
16/ 7/2018 21: 2:16        1030        1030        1030        1030              1030     955.091           1
16/ 7/2018 21: 2:53        1020        1020        1020        1020              1020     955.238           1
16/ 7/2018 22: 2: 3        1030        1030        1030        1030              1030     955.406           1
16/ 7/2018 22: 2:12        1020        1020        1020        1020              1020     955.552           1
16/ 7/2018 22: 2:28        1030        1030        1030        1030              1030     955.719           1
16/ 7/2018 22: 2:29        1020        1020        1020        1020              1020     955.863           1
16/ 7/2018 22: 2:30        1030        1030        1030        1030              1030     956.029           1
16/ 7/2018 23: 2:46        1020        1020        1020        1020              1020     956.172           1
16/ 7/2018 23: 2:48        1030        1030        1030        1030              1030     956.336           1
16/ 7/2018 24: 2: 9        1020        1020        1020        1020              1020     956.478           1
16/ 7/2018 24: 2:10        1030        1030        1030        1030              1030     956.641           1
16/ 7/2018 24: 2:13        1020        1020        1020        1020              1020     956.781           1
16/ 7/2018 24: 2:43        1030        1030        1030        1030              1030     956.943           1
16/ 7/2018 24: 2:47        1020        1020        1020        1020              1020     957.081           1
16/ 7/2018 24: 2:54        1030        1030        1030        1030              1030     957.242           1
16/ 7/2018 25: 2: 2        1020        1020        1020        1020              1020     957.379           1
16/ 7/2018 25: 2:10        1030        1030        1030        1030              1030     957.538           1
16/ 7/2018 25: 2:11        1020        1020        1020        1020              1020     957.675           1
16/ 7/2018 25: 2:16        1030        1030        1030        1030              1030     957.832           1
16/ 7/2018 26: 2:55        1040        1040        1040        1040              1040     958.011           1
16/ 7/2018 26: 2:57        1030        1030        1030        1030              1030     958.167           1
16/ 7/2018 27: 2: 3        1040        1040        1040        1040              1040     958.344           1
16/ 7/2018 27: 2: 4        1030        1030        1030        1030              1030     958.499           1
16/ 7/2018 27: 2: 7        1040        1040        1030        1030              1035     958.664           2
16/ 7/2018 31: 2: 0        1040        1040        1040        1040              1040     958.839           1
16/ 7/2018 31: 2: 1        1030        1030        1030        1030              1030     958.991           1
16/ 7/2018 31: 2:16        1040        1040        1040        1040              1040     959.165           1
16/ 7/2018 31: 2:25        1030        1030        1030        1030              1030     959.316           1
16/ 7/2018 31: 2:37        1040        1040        1040        1040              1040     959.488           1
16/ 7/2018 31: 2:38        1030        1030        1030        1030              1030     959.638           1
16/ 7/2018 31: 2:44        1040        1040        1040        1040              1040     959.809           1
16/ 7/2018 31: 2:45        1030        1030        1030        1030              1030     959.958           1
16/ 7/2018 31: 2:46        1040        1040        1040        1040              1040     960.127           1
16/ 7/2018 31: 2:50        1030        1030        1030        1030              1030     960.274           1
16/ 7/2018 31: 2:51        1040        1040        1040        1040              1040     960.442           1
16/ 7/2018 31: 2:53        1030        1030        1030        1030              1030     960.588           1
16/ 7/2018 32: 2: 1        1040        1040        1040        1040              1040     960.755           1
16/ 7/2018 32: 2: 6        1030        1030        1030        1030              1030       960.9           1
16/ 7/2018 32: 2:25        1040        1040        1040        1040              1040     961.065           1
16/ 7/2018 32: 2:26        1030        1030        1030        1030              1030     961.208           1
16/ 7/2018 32: 2:34        1040        1040        1040        1040              1040     961.372           1
16/ 7/2018 32: 2:35        1030        1030        1030        1030              1030     961.515           1
16/ 7/2018 32: 2:39        1040        1040        1040        1040              1040     961.677           1
16/ 7/2018 32: 2:40        1030        1030        1030        1030              1030     961.818           1
16/ 7/2018 33: 2: 1        1040        1040        1040        1040              1040     961.979           1
16/ 7/2018 33: 2: 2        1030        1030        1030        1030              1030     962.119           1
16/ 7/2018 33: 2: 3        1040        1040        1040        1040              1040     962.279           1
16/ 7/2018 33: 2: 8        1030        1030        1030        1030              1030     962.418           1
16/ 7/2018 33: 2:11        1040        1040        1040        1040              1040     962.577           1
16/ 7/2018 33: 2:15        1030        1030        1030        1030              1030     962.714           1
16/ 7/2018 33: 2:16        1040        1040        1040        1040              1040     962.872           1
16/ 7/2018 33: 2:53        1030        1030        1030        1030              1030     963.008           1
16/ 7/2018 34: 2:28        1040        1040        1040        1040              1040     963.164           1
16/ 7/2018 34: 2:29        1030        1030        1030        1030              1030       963.3           1
16/ 7/2018 34: 2:31        1040        1040        1040        1040              1040     963.455           1
16/ 7/2018 34: 2:33        1030        1030        1030        1030              1030     963.589           1
16/ 7/2018 34: 2:35        1040        1040        1040        1040              1040     963.742           1
16/ 7/2018 34: 2:36        1030        1030        1030        1030              1030     963.876           1
16/ 7/2018 34: 2:38        1040        1040        1040        1040              1040     964.028           1
16/ 7/2018 34: 2:42        1030        1030        1030        1030              1030      964.16           1
16/ 7/2018 35: 2:13        1040        1040        1040        1040              1040     964.311           1
16/ 7/2018 35: 2:14        1030        1030        1030        1030              1030     964.442           1
16/ 7/2018 35: 2:39        1040        1040        1040        1040              1040     964.592           1
16/ 7/2018 35: 2:40        1030        1030        1030        1030              1030     964.722           1
16/ 7/2018 36: 2:37        1040        1040        1040        1040              1040     964.871           1
16/ 7/2018 36: 2:39        1030        1030        1030        1030              1030         965           1
16/ 7/2018 36: 2:42        1040        1040        1040        1040              1040     965.148           1
16/ 7/2018 42: 2: 0        1030        1030        1030        1030              1030     965.276           1
16/ 7/2018 42: 2: 1        1040        1040        1040        1040              1040     965.422           1
16/ 7/2018 42: 2:18        1030        1030        1030        1030              1030     965.549           1
16/ 7/2018 42: 2:21        1040        1040        1040        1040              1040     965.695           1
16/ 7/2018 44: 2:47        1030        1030        1030        1030              1030      965.82           1
16/ 7/2018 44: 2:54        1040        1040        1040        1040              1040     965.965           1
16/ 7/2018 45: 2:10        1030        1030        1030        1030              1030     966.089           1
16/ 7/2018 45: 2:13        1040        1040        1040        1040              1040     966.233           1
16/ 7/2018 47: 2:34        1030        1030        1030        1030              1030     966.357           1
16/ 7/2018 47: 2:35        1040        1040        1040        1040              1040     966.499           1
16/ 7/2018 47: 2:36        1030        1030        1030        1030              1030     966.622           1
16/ 7/2018 48: 2:36        1020        1020        1020        1020              1020     966.724           1
16/ 7/2018 48: 2:58        1030        1030        1030        1030              1030     966.846           1
16/ 7/2018 48: 2:59        1020        1020        1020        1020              1020     966.948           1
16/ 7/2018 49: 2: 0        1030        1030        1030        1030              1030     967.069           1
16/ 7/2018 49: 2:24        1020        1020        1020        1020              1020      967.17           1
16/ 7/2018 49: 2:26        1030        1030        1030        1030              1030      967.29           1
16/ 7/2018 49: 2:29        1020        1020        1020        1020              1020      967.39           1
16/ 7/2018 49: 2:30        1030        1030        1030        1030              1030      967.51           1
16/ 7/2018 49: 2:34        1020        1020        1020        1020              1020     967.609           1
16/ 7/2018 49: 2:37        1030        1030        1030        1030              1030     967.727           1
16/ 7/2018 49: 2:40        1020        1020        1020        1020              1020     967.826           1
16/ 7/2018 49: 2:49        1030        1030        1030        1030              1030     967.943           1
16/ 7/2018 49: 2:51        1020        1020        1020        1020              1020     968.041           1
16/ 7/2018 49: 2:52        1030        1030        1030        1030              1030     968.158           1
16/ 7/2018 51: 2:17        1020        1020        1020        1020              1020     968.255           1
16/ 7/2018 51: 2:18        1030        1030        1030        1030              1030     968.371           1
16/ 7/2018 51: 2:19        1020        1020        1020        1020              1020     968.467           1
16/ 7/2018 52: 2: 1        1030        1030        1030        1030              1030     968.582           1
16/ 7/2018 52: 2: 2        1020        1020        1020        1020              1020     968.678           1
16/ 7/2018 52: 2:22        1030        1030        1030        1030              1030     968.792           1
16/ 7/2018 52: 2:24        1020        1020        1020        1020              1020     968.887           1
16/ 7/2018 52: 2:30        1030        1030        1030        1030              1030         969           1
16/ 7/2018 52: 2:32        1020        1020        1020        1020              1020     969.094           1
16/ 7/2018 52: 2:33        1030        1030        1030        1030              1030     969.207           1
16/ 7/2018 52: 2:37        1020        1020        1020        1020              1020       969.3           1
16/ 7/2018 55: 2:22        1010        1010        1010        1010              1010     969.375           1
16/ 7/2018 56: 2:15        1020        1020        1020        1020              1020     969.468           1
16/ 7/2018 56: 2:36        1010        1010        1010        1010              1010     969.542           1
16/ 7/2018 56: 2:41        1020        1020        1020        1020              1020     969.634           1
16/ 7/2018 57: 2: 3        1010        1010        1010        1010              1010     969.708           1
16/ 7/2018 57: 2:15        1020        1020        1020        1020              1020       969.8           1
16/ 7/2018 59: 2:43        1010        1010        1010        1010              1010     969.873           1
16/ 7/2018 59: 2:44        1020        1020        1020        1020              1020     969.964           1
16/ 7/2018 59: 2:48        1010        1010        1010        1010              1010     970.036           1
17/ 7/2018  0: 2: 2        1020        1020        1020        1020              1020     970.127           1
17/ 7/2018  2: 2:37        1010        1010        1010        1010              1010     970.199           1
17/ 7/2018  3: 2: 1        1020        1020        1020        1020              1020     970.288           1
17/ 7/2018  3: 2: 2        1010        1010        1010        1010              1010      970.36           1
17/ 7/2018  3: 2:15        1020        1020        1020        1020              1020     970.449           1
17/ 7/2018  3: 2:38        1010        1010        1010        1010              1010      970.52           1
17/ 7/2018  3: 2:47        1020        1020        1020        1020              1020     970.608           1
17/ 7/2018  3: 2:50        1010        1010        1010        1010              1010     970.679           1
17/ 7/2018  3: 2:55        1020        1020        1020        1020              1020     970.766           1
17/ 7/2018  3: 2:56        1010        1010        1010        1010              1010     970.836           1
17/ 7/2018  4: 2: 2        1020        1020        1020        1020              1020     970.924           1
17/ 7/2018  4: 2: 3        1010        1010        1010        1010              1010     970.993           1
17/ 7/2018  4: 2: 5        1020        1020        1020        1020              1020      971.08           1
17/ 7/2018  4: 2:19        1010        1010        1010        1010              1010     971.148           1
17/ 7/2018  4: 2:46        1020        1020        1020        1020              1020     971.235           1
17/ 7/2018  4: 2:48        1010        1010        1010        1010              1010     971.303           1
17/ 7/2018  5: 2:12        1020        1020        1020        1020              1020     971.388           1
17/ 7/2018  5: 2:14        1010        1010        1010        1010              1010     971.456           1
17/ 7/2018  5: 2:16        1020        1020        1020        1020              1020     971.541           1
17/ 7/2018  5: 2:52        1010        1010        1010        1010              1010     971.608           1
17/ 7/2018  5: 2:55        1020        1020        1020        1020              1020     971.693           1
17/ 7/2018  9: 2:41        1010        1010        1010        1010              1010      971.76           1
17/ 7/2018  9: 2:42        1020        1020        1020        1020              1020     971.843           1
17/ 7/2018  9: 2:52        1010        1010        1010        1010              1010      971.91           1
17/ 7/2018 12: 2: 7        1020        1020        1020        1020              1020     971.993           1
17/ 7/2018 12: 2: 8        1010        1010        1010        1010              1010     972.059           1
17/ 7/2018 14: 2:57        1020        1020        1020        1020              1020     972.142           1
17/ 7/2018 14: 2:58        1010        1010        1010        1010              1010     972.207           1
17/ 7/2018 15: 2:10        1020        1020        1020        1020              1020     972.289           1
17/ 7/2018 15: 2:14        1010        1010        1010        1010              1010     972.354           1
17/ 7/2018 15: 2:27        1020        1020        1020        1020              1020     972.436           1
17/ 7/2018 15: 2:28        1010        1010        1010        1010              1010       972.5           1
17/ 7/2018 15: 2:29        1020        1020        1020        1020              1020     972.581           1
17/ 7/2018 15: 2:35        1010        1010        1010        1010              1010     972.645           1
17/ 7/2018 15: 2:37        1020        1020        1020        1020              1020     972.726           1
17/ 7/2018 15: 2:42        1010        1010        1010        1010              1010     972.789           1
17/ 7/2018 15: 2:43        1020        1020        1020        1020              1020     972.869           1
17/ 7/2018 17: 2: 5        1010        1010        1010        1010              1010     972.932           1
17/ 7/2018 18: 2:19        1020        1020        1020        1020              1020     973.012           1
17/ 7/2018 18: 2:20        1010        1010        1010        1010              1010     973.074           1
17/ 7/2018 18: 2:23        1020        1020        1020        1020              1020     973.153           1
17/ 7/2018 18: 2:25        1010        1010        1010        1010              1010     973.215           1
17/ 7/2018 18: 2:29        1020        1020        1020        1020              1020     973.294           1
17/ 7/2018 18: 2:40        1010        1010        1010        1010              1010     973.356           1
17/ 7/2018 18: 2:45        1020        1020        1020        1020              1020     973.434           1
17/ 7/2018 18: 2:48        1010        1010        1010        1010              1010     973.495           1
17/ 7/2018 18: 2:51        1020        1020        1020        1020              1020     973.573           1
17/ 7/2018 18: 2:52        1010        1010        1010        1010              1010     973.633           1
17/ 7/2018 18: 2:55        1020        1020        1020        1020              1020      973.71           1
17/ 7/2018 18: 2:59        1010        1010        1010        1010              1010     973.771           1
17/ 7/2018 19: 2: 0        1020        1020        1020        1020              1020     973.847           1
17/ 7/2018 22: 2:38        1010        1010        1010        1010              1010     973.907           1
17/ 7/2018 23: 2:15        1020        1020        1020        1020              1020     973.983           1
17/ 7/2018 24: 2: 4        1010        1010        1010        1010              1010     974.043           1
17/ 7/2018 26: 2:15        1020        1020        1020        1020              1020     974.119           1
17/ 7/2018 26: 2:16        1010        1010        1010        1010              1010     974.178           1
17/ 7/2018 26: 2:33        1020        1020        1020        1020              1020     974.253           1
17/ 7/2018 29: 2:12        1030        1030        1030        1030              1030     974.344           1
17/ 7/2018 29: 2:17        1020        1020        1020        1020              1020     974.419           1
17/ 7/2018 29: 2:20        1030        1030        1030        1030              1030      974.51           1
17/ 7/2018 29: 2:25        1020        1020        1020        1020              1020     974.584           1
17/ 7/2018 29: 2:27        1030        1030        1030        1030              1030     974.674           1
17/ 7/2018 31: 2:41        1020        1020        1020        1020              1020     974.748           1
17/ 7/2018 31: 2:42        1030        1030        1030        1030              1030     974.838           1
17/ 7/2018 31: 2:44        1020        1020        1020        1020              1020     974.911           1
17/ 7/2018 32: 2:40        1030        1030        1030        1030              1030         975           1
17/ 7/2018 32: 2:47        1020        1020        1020        1020              1020     975.073           1
17/ 7/2018 33: 2:15        1030        1030        1030        1030              1030     975.161           1
17/ 7/2018 33: 2:19        1020        1020        1020        1020              1020     975.233           1
17/ 7/2018 33: 2:50        1030        1030        1030        1030              1030     975.322           1
17/ 7/2018 33: 2:53        1020        1020        1020        1020              1020     975.393           1
17/ 7/2018 33: 2:56        1030        1030        1030        1030              1030     975.481           1
17/ 7/2018 34: 2: 1        1020        1020        1020        1020              1020     975.552           1
17/ 7/2018 34: 2: 4        1030        1030        1030        1030              1030     975.639           1
17/ 7/2018 34: 2: 5        1020        1020        1020        1020              1020      975.71           1
17/ 7/2018 34: 2:10        1030        1030        1030        1030              1030     975.796           1
17/ 7/2018 34: 2:15        1020        1020        1020        1020              1020     975.866           1
17/ 7/2018 34: 2:17        1030        1030        1030        1030              1030     975.952           1
17/ 7/2018 34: 2:20        1020        1020        1020        1020              1020     976.022           1
17/ 7/2018 34: 2:33        1030        1030        1030        1030              1030     976.108           1
17/ 7/2018 34: 2:42        1020        1020        1020        1020              1020     976.177           1
17/ 7/2018 36: 2:33        1010        1010        1010        1010              1010      976.23           1
17/ 7/2018 36: 2:37        1020        1020        1020        1020              1020     976.299           1
17/ 7/2018 43: 2:14        1010        1010        1010        1010              1010     976.352           1
17/ 7/2018 43: 2:18        1020        1020        1020        1020              1020     976.421           1
17/ 7/2018 43: 2:20        1010        1010        1010        1010              1010     976.473           1
17/ 7/2018 43: 2:31        1020        1020        1020        1020              1020     976.541           1
17/ 7/2018 43: 2:32        1010        1010        1010        1010              1010     976.594           1
17/ 7/2018 43: 2:40        1020        1020        1020        1020              1020     976.661           1
17/ 7/2018 43: 2:44        1010        1010        1010        1010              1010     976.713           1
17/ 7/2018 44: 2:55        1020        1020        1020        1020              1020     976.781           1
17/ 7/2018 46: 2:11        1030        1030        1030        1030              1030     976.863           1
17/ 7/2018 46: 2:12        1020        1020        1020        1020              1020      976.93           1
17/ 7/2018 46: 2:40        1030        1030        1030        1030              1030     977.012           1
17/ 7/2018 46: 2:41        1020        1020        1020        1020              1020     977.079           1
17/ 7/2018 46: 2:42        1030        1030        1030        1030              1030      977.16           1
17/ 7/2018 48: 2:27        1020        1020        1020        1020              1020     977.227           1
17/ 7/2018 48: 2:28        1030        1030        1030        1030              1030     977.308           1
17/ 7/2018 48: 2:32        1020        1020        1020        1020              1020     977.373           1
17/ 7/2018 49: 2:18        1010        1010        1010        1010              1010     977.423           1
17/ 7/2018 49: 2:24        1000        1000        1000        1000              1000     977.458           1
17/ 7/2018 49: 2:25        1010        1010        1010        1010              1010     977.508           1
17/ 7/2018 49: 2:26        1000        1000        1000        1000              1000     977.542           1
17/ 7/2018 50: 2:39         990         990         990         990               990     977.561           1
17/ 7/2018 50: 2:45        1000        1000        1000        1000              1000     977.595           1
17/ 7/2018 50: 2:50         990         990         990         990               990     977.614           1
17/ 7/2018 51: 2: 6         980         980         980         980               980     977.618           1
17/ 7/2018 51: 2:58         970         970         970         970               970     977.606           1
17/ 7/2018 52: 2: 9         980         980         980         980               980      977.61           1
17/ 7/2018 52: 2:14         970         970         970         970               970     977.598           1
17/ 7/2018 52: 2:15         980         980         980         980               980     977.602           1
17/ 7/2018 52: 2:17         970         970         970         970               970      977.59           1
17/ 7/2018 52: 2:18         980         980         980         980               980     977.594           1
17/ 7/2018 52: 2:20         970         970         970         970               970     977.583           1
17/ 7/2018 52: 2:24         980         980         980         980               980     977.586           1
17/ 7/2018 52: 2:29         970         970         970         970               970     977.575           1
17/ 7/2018 54: 2:20         960         960         960         960               960     977.549           1
17/ 7/2018 54: 2:22         970         970         970         970               970     977.537           1
17/ 7/2018 54: 2:23         960         960         960         960               960     977.511           1
17/ 7/2018 54: 2:53         970         970         970         970               970       977.5           1
17/ 7/2018 55: 2: 0         960         960         960         960               960     977.474           1
17/ 7/2018 55: 2: 2         970         970         970         970               970     977.463           1
17/ 7/2018 55: 2: 3         960         960         960         960               960     977.437           1
17/ 7/2018 55: 2: 5         970         970         970         970               970     977.426           1
17/ 7/2018 55: 2: 8         960         960         960         960               960       977.4           1
17/ 7/2018 55: 2:12         970         970         970         970               970     977.389           1
17/ 7/2018 55: 2:16         960         960         960         960               960     977.364           1
17/ 7/2018 55: 2:18         970         970         970         970               970     977.353           1
17/ 7/2018 57: 2:32         980         980         980         980               980     977.357           1
17/ 7/2018 57: 2:41         970         970         970         970               970     977.346           1
17/ 7/2018 57: 2:42         980         980         980         980               980      977.35           1
17/ 7/2018 57: 2:59         990         990         990         990               990     977.368           1
17/ 7/2018 58: 2: 1         980         980         980         980               980     977.372           1
17/ 7/2018 58: 2: 7         990         990         990         990               990     977.391           1
17/ 7/2018 59: 2:55        1000        1000        1000        1000              1000     977.424           1
