         Date              Open        High         Low       Close     Typical Price        TWAP    Message Count
14/ 7/2018 56: 2:43         330         330         330         330               330     310.359           1
15/ 7/2018  0: 2:18         320         320         320         320               320     310.408           1
15/ 7/2018  0: 2:39         330         330         330         330               330     310.508           1
15/ 7/2018  1: 2:54         340         340         340         340               340     310.657           1
15/ 7/2018  2: 2: 0         330         330         330         330               330     310.754           1
15/ 7/2018 15: 2:44         340         340         340         340               340       310.9           1
15/ 7/2018 15: 2:45         330         330         330         330               330     310.995           1
15/ 7/2018 15: 2:51         340         340         340         340               340     311.139           1
15/ 7/2018 15: 2:53         330         330         330         330               330     311.232           1
15/ 7/2018 15: 2:55         340         340         340         340               340     311.373           1
15/ 7/2018 15: 2:56         330         330         330         330               330     311.463           1
15/ 7/2018 16: 2:38         340         340         340         340               340     311.602           1
15/ 7/2018 16: 2:59         330         330         330         330               330     311.691           1
15/ 7/2018 17: 2: 2         340         340         340         340               340     311.827           1
15/ 7/2018 17: 2:11         330         330         330         330               330     311.914           1
15/ 7/2018 17: 2:12         340         340         340         340               340     312.048           1
15/ 7/2018 17: 2:13         330         330         330         330               330     312.133           1
15/ 7/2018 17: 2:24         340         340         340         340               340     312.264           1
15/ 7/2018 17: 2:36         330         330         330         330               330     312.347           1
15/ 7/2018 17: 2:37         340         340         340         340               340     312.477           1
15/ 7/2018 17: 2:41         330         330         330         330               330     312.558           1
15/ 7/2018 17: 2:43         340         340         340         340               340     312.685           1
15/ 7/2018 17: 2:48         330         330         330         330               330     312.765           1
15/ 7/2018 17: 2:54         340         340         340         340               340      312.89           1
15/ 7/2018 17: 2:55         330         330         330         330               330     312.968           1
15/ 7/2018 18: 2:42         340         340         340         340               340     313.091           1
15/ 7/2018 19: 2: 5         330         330         330         330               330     313.167           1
15/ 7/2018 19: 2:16         340         340         340         340               340     313.288           1
15/ 7/2018 21: 2:38         330         330         330         330               330     313.363           1
15/ 7/2018 21: 2:59         340         340         340         340               340     313.482           1
15/ 7/2018 22: 2:18         330         330         330         330               330     313.556           1
15/ 7/2018 23: 2:54         340         340         340         340               340     313.673           1
15/ 7/2018 23: 2:55         330         330         330         330               330     313.744           1
15/ 7/2018 24: 2: 2         340         340         340         340               340      313.86           1
15/ 7/2018 24: 2:15         330         330         330         330               330      313.93           1
15/ 7/2018 25: 2:35         340         340         340         340               340     314.043           1
15/ 7/2018 25: 2:37         330         330         330         330               330     314.113           1
15/ 7/2018 25: 2:42         340         340         340         340               340     314.224           1
15/ 7/2018 25: 2:45         330         330         330         330               330     314.292           1
15/ 7/2018 25: 2:52         340         340         340         340               340     314.402           1
15/ 7/2018 26: 2:20         330         330         330         330               330     314.468           1
15/ 7/2018 28: 2:25         340         340         340         340               340     314.576           1
15/ 7/2018 28: 2:26         330         330         330         330               330     314.641           1
15/ 7/2018 28: 2:41         340         340         340         340               340     314.748           1
15/ 7/2018 28: 2:46         330         330         330         330               330     314.812           1
15/ 7/2018 28: 2:51         340         340         340         340               340     314.917           1
15/ 7/2018 28: 2:52         330         330         330         330               330     314.979           1
15/ 7/2018 29: 2:39         340         340         340         340               340     315.083           1
15/ 7/2018 29: 2:42         330         330         330         330               330     315.144           1
15/ 7/2018 29: 2:54         340         340         340         340               340     315.246           1
15/ 7/2018 29: 2:55         330         330         330         330               330     315.306           1
15/ 7/2018 29: 2:57         340         340         340         340               340     315.407           1
15/ 7/2018 29: 2:59         330         330         330         330               330     315.466           1
15/ 7/2018 30: 2: 6         340         340         340         340               340     315.565           1
15/ 7/2018 30: 2:10         330         330         330         330               330     315.622           1
15/ 7/2018 30: 2:14         340         340         340         340               340      315.72           1
15/ 7/2018 30: 2:45         330         330         330         330               330     315.777           1
15/ 7/2018 30: 2:55         340         340         340         340               340     315.873           1
15/ 7/2018 42: 2: 5         330         330         330         330               330     315.929           1
15/ 7/2018 42: 2: 7         340         340         340         340               340     316.024           1
15/ 7/2018 42: 2: 8         330         330         330         330               330     316.078           1
15/ 7/2018 42: 2:13         340         340         340         340               340     316.172           1
15/ 7/2018 42: 2:22         330         340         330         340               335     316.245           2
15/ 7/2018 42: 2:23         330         330         330         330               330     316.298           1
15/ 7/2018 42: 2:37         340         340         340         340               340      316.39           1
15/ 7/2018 42: 2:38         330         330         330         330               330     316.442           1
15/ 7/2018 42: 2:41         340         340         340         340               340     316.533           1
15/ 7/2018 42: 2:43         330         330         330         330               330     316.584           1
15/ 7/2018 42: 2:58         340         340         340         340               340     316.673           1
15/ 7/2018 43: 2: 0         330         330         330         330               330     316.723           1
15/ 7/2018 43: 2: 1         340         340         340         340               340     316.811           1
15/ 7/2018 43: 2: 2         330         330         330         330               330     316.861           1
15/ 7/2018 43: 2:21         340         340         340         340               340     316.948           1
15/ 7/2018 43: 2:22         330         330         330         330               330     316.996           1
15/ 7/2018 43: 2:27         340         340         340         340               340     317.082           1
15/ 7/2018 58: 2:29         350         350         350         350               350     317.204           1
15/ 7/2018 58: 2:32         340         340         340         340               340     317.288           1
15/ 7/2018 58: 2:33         350         350         350         350               350     317.408           1
15/ 7/2018 58: 2:34         340         340         340         340               340     317.491           1
15/ 7/2018 58: 2:38         350         350         350         350               350     317.609           1
16/ 7/2018  9: 2:42         360         360         360         360               360     317.764           1
16/ 7/2018  9: 2:43         350         350         350         350               350      317.88           1
16/ 7/2018 10: 2:16         360         360         360         360               360     318.032           1
16/ 7/2018 10: 2:38         350         350         350         350               350     318.147           1
16/ 7/2018 10: 2:46         360         360         360         360               360     318.297           1
16/ 7/2018 11: 2: 6         350         350         350         350               350     318.411           1
16/ 7/2018 14: 2: 8         360         360         360         360               360     318.559           1
16/ 7/2018 14: 2:48         350         350         350         350               350      318.67           1
16/ 7/2018 14: 2:58         360         360         360         360               360     318.816           1
16/ 7/2018 15: 2:32         350         350         350         350               350     318.926           1
16/ 7/2018 17: 2:17         360         360         360         360               360      319.07           1
16/ 7/2018 17: 2:20         350         350         350         350               350     319.178           1
16/ 7/2018 19: 2:13         360         360         360         360               360     319.321           1
16/ 7/2018 19: 2:16         350         350         350         350               350     319.427           1
16/ 7/2018 19: 2:20         360         360         360         360               360     319.567           1
16/ 7/2018 19: 2:59         350         350         350         350               350     319.672           1
16/ 7/2018 21: 2:35         360         360         360         360               360     319.811           1
16/ 7/2018 21: 2:50         350         350         350         350               350     319.914           1
16/ 7/2018 23: 2: 2         360         360         360         360               360     320.051           1
16/ 7/2018 23: 2:34         350         350         350         350               350     320.153           1
16/ 7/2018 25: 2:16         360         360         360         360               360     320.288           1
16/ 7/2018 25: 2:17         350         350         350         350               350     320.389           1
16/ 7/2018 25: 2:18         360         360         360         360               360     320.522           1
16/ 7/2018 25: 2:19         350         350         350         350               350     320.621           1
16/ 7/2018 25: 2:20         360         360         360         360               360     320.753           1
16/ 7/2018 25: 2:24         350         350         350         350               350      320.85           1
16/ 7/2018 25: 2:26         360         360         360         360               360      320.98           1
16/ 7/2018 25: 2:49         350         350         350         350               350     321.076           1
16/ 7/2018 25: 2:50         360         360         360         360               360     321.205           1
16/ 7/2018 25: 2:53         350         350         350         350               350     321.299           1
16/ 7/2018 25: 2:55         360         360         360         360               360     321.426           1
16/ 7/2018 25: 2:58         350         350         350         350               350      321.52           1
16/ 7/2018 26: 2: 2         360         360         360         360               360     321.645           1
16/ 7/2018 26: 2: 3         350         350         350         350               350     321.737           1
16/ 7/2018 26: 2: 6         360         360         360         360               360     321.861           1
16/ 7/2018 26: 2: 8         350         350         350         350               350     321.952           1
16/ 7/2018 26: 2:12         360         360         360         360               360     322.074           1
