         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
 9/ 7/2018 55: 2: 1        3370        4050        3370        3350          20              3590       71800       71800          20        3590         310
10/ 7/2018  6: 2:49        3380        3380        3380        3380        1000              3380     3380000  1723686097      500935     3440.94           2
10/ 7/2018  6: 2:50        3400        3400        3400        3400        2000              3400     6800000  1730486097      502935     3440.77           1
10/ 7/2018  6: 2:51        3490        3490        3490        3490         500              3490     1745000  1732231097      503435     3440.82           1
10/ 7/2018  6: 2:52        3370        3370        3370        3370        1000              3370     3370000  1735601097      504435     3440.68           1
10/ 7/2018  7: 2: 2        3490        3490        3490        3490         500              3490     1745000  1737346097      504935     3440.73           1
10/ 7/2018  7: 2: 3        3500        3500        3500        3500        3741              3500    13093500  1750439597      508676     3441.17           1
10/ 7/2018  7: 2: 8        3400        3400        3400        3400        1000              3400     3400000  1753839597      509676     3441.09           1
10/ 7/2018  7: 2:14        3380        3380        3380        3380        2000              3380     6760000  1760599597      511676     3440.85           1
10/ 7/2018  7: 2:17        3390        3390        3390        3390        1167              3390     3956130  1764555727      512843     3440.73           1
10/ 7/2018  7: 2:18        3510        3510        3400        3400          50           3436.67      171833  1764727560      512893     3440.73           2
10/ 7/2018  7: 2:27        3380        3380        3370        3370        1000           3373.33     3373333  1768100893      513893      3440.6           2
10/ 7/2018  7: 2:29        3370        3370        3370        3370        1000              3370     3370000  1771470893      514893     3440.46           1
10/ 7/2018  7: 2:46        3380        3380        3370        3370         100           3373.33      337333  1771808226      514993     3440.45           2
10/ 7/2018  7: 2:49        3350        3350        3350        3350        5000              3350    16750000  1788558226      519993     3439.58           1
10/ 7/2018  7: 2:50        3370        3370        3370        3370        2500              3370     8425000  1796983226      522493     3439.25           1
10/ 7/2018  7: 2:51        3360        3360        3360        3360        5000              3360    16800000  1813783226      527493      3438.5           1
10/ 7/2018  7: 2:55        3340        3340        3340        3340        5000              3340    16700000  1830483226      532493     3437.57           1
10/ 7/2018  7: 2:56        3370        3370        3370        3370        1500              3370     5055000  1835538226      533993     3437.38           1
10/ 7/2018  7: 2:58        3370        3370        3330        3330        5000           3343.33    16716666  1852254892      538993     3436.51           2
10/ 7/2018  8: 2:12        3360        3360        3360        3360        2500              3360     8400000  1860654892      541493     3436.16           1
10/ 7/2018  8: 2:16        3380        3380        3380        3380         475              3380     1605500  1862260392      541968     3436.11           1
10/ 7/2018  8: 2:17        3370        3370        3370        3370       50000              3370   168500000  2030760392      591968     3430.52           2
