         Date              Open        High         Low       Close      Volume     Typical Price         V*P    Total VP     Total V        VWAP    Message Count
12/ 7/2018 23: 2:29         570         570         570         570       25000               570    14250000  1637083330     2925000     559.687           1
12/ 7/2018 25: 2:50         580         580         580         580       25000               580    14500000  1651583330     2950000     559.859           1
12/ 7/2018 26: 2:36         590         590         590         590       25000               590    14750000  1666333330     2975000     560.112           1
12/ 7/2018 26: 2:37         580         580         580         580       25000               580    14500000  1680833330     3000000     560.278           1
12/ 7/2018 26: 2:41         590         590         580         580       25000           583.333    14583333  1695416663     3025000     560.468           2
12/ 7/2018 27: 2:13         570         570         570         570       25000               570    14250000  1709666663     3050000     560.546           1
12/ 7/2018 27: 2:15         580         580         580         580       25000               580    14500000  1724166663     3075000     560.705           1
12/ 7/2018 28: 2:36         570         570         570         570       25000               570    14250000  1738416663     3100000      560.78           1
12/ 7/2018 28: 2:37         580         580         580         580       25000               580    14500000  1752916663     3125000     560.933           1
12/ 7/2018 48: 2:48         570         570         570         570       25000               570    14250000  1767166663     3150000     561.005           1
12/ 7/2018 52: 2: 5         580         580         580         580       25000               580    14500000  1781666663     3175000     561.155           1
12/ 7/2018 52: 2:10         570         570         570         570       25000               570    14250000  1795916663     3200000     561.224           1
14/ 7/2018  0: 2:25         570         570         570         570       25000               570    14250000  1810166663     3225000     561.292           1
14/ 7/2018 17: 2:10         580         580         580         580       25000               580    14500000  1824666663     3250000     561.436           1
14/ 7/2018 17: 2:52         570         570         570         570       25000               570    14250000  1838916663     3275000     561.501           1
14/ 7/2018 22: 2:38         580         580         580         580       25000               580    14500000  1853416663     3300000     561.641           1
14/ 7/2018 25: 2:27         570         570         570         570       25000               570    14250000  1867666663     3325000     561.704           1
14/ 7/2018 26: 2:41         590         590         580         580       25000           583.333    14583333  1882249996     3350000     561.866           2
14/ 7/2018 26: 2:42         570         590         570         590       25000           583.333    14583333  1896833329     3375000     562.025           2
14/ 7/2018 26: 2:46         580         580         580         580       25000               580    14500000  1911333329     3400000     562.157           1
14/ 7/2018 31: 2:58         590         590         590         590       25000               590    14750000  1926083329     3425000      562.36           1
14/ 7/2018 31: 2:59         600         600         590         590       25000           593.333    14833333  1940916662     3450000     562.585           2
14/ 7/2018 32: 2: 1         600         600         600         600       25000               600    15000000  1955916662     3475000     562.854           1
14/ 7/2018 32: 2: 2         590         590         590         590       25000               590    14750000  1970666662     3500000     563.048           1
14/ 7/2018 32: 2: 8         580         580         580         580       25000               580    14500000  1985166662     3525000     563.168           1
14/ 7/2018 49: 2:35         570         570         570         570       25000               570    14250000  1999416662     3550000     563.216           1
14/ 7/2018 49: 2:56         580         580         580         580       25000               580    14500000  2013916662     3575000     563.333           1
14/ 7/2018 52: 2:14         570         570         570         570       25000               570    14250000  2028166662     3600000      563.38           1
14/ 7/2018 57: 2:14         580         580         580         580       25000               580    14500000  2042666662     3625000     563.494           1
14/ 7/2018 57: 2:16         570         570         570         570       25000               570    14250000  2056916662     3650000     563.539           1
15/ 7/2018 23: 2:25         580         590         580         590       25000           586.667    14666666  2071583328     3675000     563.696           2
15/ 7/2018 23: 2:26         580         580         580         580       25000               580    14500000  2086083328     3700000     563.806           1
15/ 7/2018 23: 2:29         570         570         570         570       25000               570    14250000  2100333328     3725000     563.848           1
15/ 7/2018 23: 2:34         580         580         580         580       25000               580    14500000  2114833328     3750000     563.956           1
15/ 7/2018 26: 2: 9         570         570         570         570       25000               570    14250000  2129083328     3775000     563.996           1
15/ 7/2018 26: 2:58         580         580         580         580       25000               580    14500000  2143583328     3800000     564.101           1
15/ 7/2018 29: 2:52         570         570         570         570       25000               570    14250000  2157833328     3825000     564.139           1
15/ 7/2018 30: 2:15         580         580         580         580       25000               580    14500000  2172333328     3850000     564.242           1
15/ 7/2018 34: 2:24         570         570         570         570       25000               570    14250000  2186583328     3875000      564.28           1
15/ 7/2018 34: 2:38         580         590         580         590       25000           586.667    14666666  2201249994     3900000     564.423           2
15/ 7/2018 34: 2:49         570         570         570         570       25000               570    14250000  2215499994     3925000     564.459           1
15/ 7/2018 34: 2:52         590         590         590         590       25000               590    14750000  2230249994     3950000      564.62           1
15/ 7/2018 34: 2:53         570         570         570         570       25000               570    14250000  2244499994     3975000     564.654           1
15/ 7/2018 35: 2:36         580         580         580         580       25000               580    14500000  2258999994     4000000      564.75           1
15/ 7/2018 36: 2:20         570         570         570         570       25000               570    14250000  2273249994     4025000     564.783           1
16/ 7/2018  5: 2:29         560         560         560         560       25000               560    14000000  2287249994     4050000     564.753           1
16/ 7/2018  9: 2:24         550         550         550         550       25000               550    13750000  2300999994     4075000     564.663           1
16/ 7/2018 13: 2:43         560         560         560         560       25000               560    14000000  2314999994     4100000     564.634           1
16/ 7/2018 13: 2:44         550         550         550         550       25000               550    13750000  2328749994     4125000     564.545           1
16/ 7/2018 30: 2:21         560         560         560         560       25000               560    14000000  2342749994     4150000     564.518           1
16/ 7/2018 30: 2:30         550         550         550         550       25000               550    13750000  2356499994     4175000     564.431           1
16/ 7/2018 30: 2:32         560         560         560         560       25000               560    14000000  2370499994     4200000     564.405           1
16/ 7/2018 40: 2:55         550         550         550         550       25000               550    13750000  2384249994     4225000      564.32           1
16/ 7/2018 44: 2:11         560         560         550         550       25000           553.333    13833333  2398083327     4250000     564.255           2
16/ 7/2018 47: 2:49         570         570         550         550       25000           556.667    13916666  2411999993     4275000     564.211           2
16/ 7/2018 52: 2:42         560         560         560         560       25000               560    14000000  2425999993     4300000     564.186           1
16/ 7/2018 52: 2:43         570         570         560         560       25000           563.333    14083333  2440083326     4325000     564.181           2
16/ 7/2018 53: 2: 1         570         570         560         560       25000           563.333    14083333  2454166659     4350000     564.176           2
16/ 7/2018 59: 2:59         570         570         570         570       25000               570    14250000  2468416659     4375000      564.21           1
17/ 7/2018  3: 2:18         560         560         560         560       25000               560    14000000  2482416659     4400000     564.186           1
17/ 7/2018  6: 2: 8         570         570         570         570       25000               570    14250000  2496666659     4425000     564.218           1
17/ 7/2018  7: 2:21         580         580         580         580       25000               580    14500000  2511166659     4450000     564.307           1
17/ 7/2018  7: 2:26         560         560         560         560       25000               560    14000000  2525166659     4475000     564.283           1
17/ 7/2018  7: 2:29         570         570         570         570       25000               570    14250000  2539416659     4500000     564.315           1
17/ 7/2018 24: 2:20         580         580         580         580       25000               580    14500000  2553916659     4525000     564.401           1
17/ 7/2018 24: 2:21         590         590         570         570       25000           576.667    14416666  2568333325     4550000     564.469           2
17/ 7/2018 55: 2:28         560         560         560         560       25000               560    14000000  2582333325     4575000     564.444           1
17/ 7/2018 59: 2:47         570         570         570         570       25000               570    14250000  2596583325     4600000     564.475           1
17/ 7/2018 59: 2:50         580         580         580         580       25000               580    14500000  2611083325     4625000     564.559           1
17/ 7/2018 59: 2:53         570         570         570         570       25000               570    14250000  2625333325     4650000     564.588           1
17/ 7/2018 59: 2:54         560         560         560         560       25000               560    14000000  2639333325     4675000     564.563           1
